subword,entropy
##dan,0.32860609181261413
##ngi,1.2056304657322239
##won,0.8591858462968553
##hil,2.1385139269123488
##man,0.6763115841603106
Es,0.9862844925666178
##pir,2.0231009575174603
##itu,1.2841935497618988
##lih,0.7400480477397334
Ma,1.1647325767445742
##haya,1.516417227104735
dina,0.6633814347557249
##lain,0.7424925057773621
##hing,1.121187581154913
Ad,1.6248213272284433
Ga,0.4148609070525496
##bii,0.3207898820298405
##hay,0.917920027162718
##pon,0.5613502229120861
##bun,1.8205874848633297
##tago,1.3266427481855838
ha,1.851541413146958
##wan,1.0
##aba,0.42544637346197056
##hino,2.748972048274808
Mat,0.6759423831358524
##ingu,0.5390198762869001
##mung,1.448020878692856
kati,0.2858360274502472
Dag,1.2130407415770976
Mag,0.4445642570054442
##pat,1.0922598940293327
##uro,0.5818423594883739
##ili,0.5083538953749338
tala,0.4761737563914699
##mn,2.9078205565515716
binh,1.8341836102723255
##unga,0.9176118948587424
bunga,0.8583861261693138
##aha,1.585714136713668
##tol,1.0607194645607025
##bula,1.3335479937639136
gab,0.5591380117041316
##ii,1.2681155960724102
##oa,0.5600360366372312
ilha,1.832817148984471
##nan,0.5039299476355672
##ui,1.4123091014586548
paghatag,0.6728735499280392
dur,0.9166281930529727
##kung,0.6109635260496581
labing,0.8426272870147389
##hari,0.9831101494400867
bit,0.4010041940421195
##iwa,3.0
##upat,2.245978503085286
Dum,3.5195743359515355
##ags,2.586966347286772
duo,2.091187144255814
##pad,1.2666473238254805
lang,0.7056077755614818
##gam,0.7632874582130307
manana,0.8554778766718678
##sata,2.880570527892802
##lang,1.7142169281623418
##inan,1.5179969858813083
Su,1.0643515430462083
##mana,0.363260172768762
dum,1.1131206461642305
##agh,0.969591113854768
pun,1.0643169059575859
dagat,0.4553347007400749
pada,0.42784687578948094
##gha,0.5546960530458934
##lima,2.812518570593066
##opa,1.1939080020899235
##aga,0.663885787342136
##mang,1.6387480300754567
##tanan,1.2716202673802577
Bu,1.4387710754175385
nato,0.3158771185705577
##way,1.0193359933511932
kalan,0.6581551914544613
##gah,1.0028283469118002
##bato,0.5639375376466444
##bulo,1.191276642813914
Tan,2.3234624451597616
##agan,2.059240404939073
##imon,2.0805612576194172
##nha,1.4318057526101757
tan,1.580336669546662
kaayo,0.703853325964984
##uman,0.627748620384996
##pito,1.9860036516932142
nata,0.8658988347075671
pay,0.933922856368651
##ulan,0.5878566919621805
##uma,1.5939260652601273
##umo,0.5207352630551486
ab,0.8875458961128891
##nin,0.7674413283433004
##haw,0.47338649438475816
ng,2.823428025997948
tanaman,1.4890219260658646
Eden,0.1333699852520878
##imu,0.9028576637000977
##tata,0.9081670789589997
mig,0.8798630908098083
suba,0.8035335806799668
##tub,1.3707027822988567
##bah,0.6807173049025844
up,1.0207060432037496
sang,0.9141745696138456
Pi,1.721666674398981
##son,0.4478646354271103
##kos,0.9335098065749016
Ha,1.3619544414639317
##bila,0.33607556146558454
##yx,0.4384524311136281
##ih,0.7641046125229201
Etiopia,1.4736791518304144
Hi,0.9852281360342516
##el,1.1658090776871202
##dul,1.1187529352028271
As,1.1064551971839056
##iria,2.184342158357471
Eu,1.8855057927297676
##fra,2.2592986621103752
##tes,2.14519756897794
ati,3.9912157102019847
##mano,1.1877542130342533
ban,0.4695814133372038
Maka,1.334810702002488
##kao,1.0208706251216657
Dil,1.6032208095091793
in,1.0086036493240356
##usa,1.252446518275825
##ra,0.3800775783194939
Adam,0.46602424801519626
##ao,1.49722663780508
##alan,0.3414282602819649
##gkap,0.6303206882820963
##lagan,0.6720745053292727
##akat,1.6978068025242445
gu,0.6357727058232332
##tak,0.5803090010766353
uno,0.9150514316113086
##kog,0.8968190954189884
##angan,0.7279168607036374
Baba,0.38243192841970425
##ye,0.5680573975224745
La,0.7534233696694993
Tun,0.9507166414487509
##biy,0.628096908737343
moi,2.101939776692459
asa,1.4399332409043228
hubo,0.3632574706102568
Kar,1.1938648191319976
biti,0.9100269071352166
mala,0.3863357233446855
lab,0.5073342127051045
##hik,0.23207241062412576
##bal,0.876035272422544
##oan,0.24554130702100607
##buk,1.8097422628538358
##hib,0.8195176589693283
##alo,0.996184878108589
##lip,0.7041871327187155
tak,0.8480975410564475
##kina,0.7492867366405904
##gt,1.2803125123534296
##guera,0.15595814290220092
##gd,0.6423381387446082
##gna,0.5696804786898061
##ago,1.5829511755269619
##kah,0.7202814195208482
##oya,3.98193147786084
##taw,2.0518875478695406
Hai,1.5571019209531294
##dung,0.26306199407438524
##lok,0.9032400137144626
Ki,2.214570364386443
##nsa,1.4322141992317186
##akan,1.7883618040621987
##lim,1.8005867029449316
##bong,0.9771957014967725
laba,0.4006275228355127
##kaman,2.886134548615154
ibu,1.0290460350091344
##kaa,0.5676548442664621
##wat,0.6562763853490456
magas,0.762752001689485
##ama,0.9734046776422048
tik,0.026314192464992343
Nag,0.20268806519167357
Pa,0.8879763195151351
##gada,4.925236646573829
hilabihan,0.6441917492809887
##aki,1.1427910283054825
##kon,0.5491819989790684
##anak,1.4488821045747828
##ando,0.264917577994683
sam,0.7669375663450204
##pini,2.9102233046118937
hil,0.8004987355760959
##amo,1.540290213146397
sing,1.0051983833115774
##uli,0.7343662850258074
sini,0.36944259046725486
gibi,1.4608263641636816
##sti,3.454986855772667
Ani,1.4433068218729745
##iba,1.1714437272412037
itu,0.5467857697432947
od,0.684665433957181
##uh,0.5862704485598119
uma,0.3940862926836289
##awa,0.8424603203035942
quer,1.6169634094610457
##ubi,3.068588962805475
sig,0.9990865702345343
espada,0.260132689979471
##alis,0.36546791351283436
##bant,0.9535215738448011
Cain,3.6134123967866345
##aton,1.1889976196940584
##aban,1.4719068051004427
Abel,1.2665337664708984
##nta,2.7246149762716043
carne,2.238647114285049
##tab,0.9642373916694815
abu,0.47800253292317274
##mbok,1.0216983530909987
##tam,1.912029428822049
hata,0.3607713802623819
##iso,0.26305486997177574
##il,0.4837831621542611
Kong,0.8999987027421832
##aday,3.3577971379163727
##ego,0.44589531380801223
gang,2.140674215880806
nam,0.647360586174049
mit,0.7235467053900899
##indo,1.1869304467148447
dugo,0.7778895642670814
##atu,0.9985237691069379
kus,0.789544581438443
##laag,0.5629802979815353
##dum,0.6538179509891836
sil,1.050547059238589
##ant,1.7337942433996685
##mal,1.701876413131492
##amt,0.7043852301240854
pit,2.1351549275250794
pi,1.0907621981147602
pati,1.5269521218409863
##ty,1.4745546689188676
No,1.9690877967882836
Eno,0.4343585429732039
##ch,0.6990019590070009
##tuk,1.1246148162283949
lungsod,0.5937555232329121
sun,0.5401742131489264
Me,1.3164190221954333
##hus,4.1309207960940535
##ael,3.3665942170910124
Lam,0.4595546698770371
##ech,2.4468267969852917
Ada,0.39053917579060754
