subword,entropy
početku,2.7898980954642876
nebo,1.7327699617570673
Ze,0.9703579852703612
##mlja,0.42026074406657477
tam,0.531092506061716
##stir,4.448788890811972
##ala,0.700251291132581
##dano,3.0492235544019115
Du,0.45186023934262637
##dio,0.4480480524294276
voda,0.6415526065071374
##lost,0.8806323980804264
dobra,1.08084950510188
rast,0.28079030063368277
no,1.3999641951537818
več,2.303702836116273
##er,1.2158456711643701
##tro,1.5997409304440975
prvi,0.6777238038574521
svo,0.3011033224771186
##red,0.36163934802336495
dij,0.714175341817215
##eli,0.7992188650470824
vode,0.6163468532935052
način,0.7961412807645386
##dom,0.4583675581783764
drugi,0.296154011854719
Vo,1.8068759341821845
##upe,3.212492092058643
jedno,1.3271840076766797
mjesto,0.24452969876232927
kop,0.1931105513701012
Ko,0.4368167753858227
##ljene,0.6695150036434081
mora,0.3830459777230956
##kli,1.2986685583634177
##leni,0.6968033383888694
##lom,0.5733747002502929
##vom,0.8999268455593701
##jemen,2.2630461918164335
##ito,0.9030445837581432
##bli,2.284875979887261
##odon,1.966804299847479
##nim,0.19238914297616666
dono,1.4562117193254212
##se,0.920881707836507
nosi,0.40804285932206047
##lena,0.20257180887888593
##bla,0.7509569696794192
rode,0.19396350909495808
##odo,0.6405353372483669
nose,0.5776268772655412
treći,1.0847151066144376
##lila,0.7258441585819104
##bes,0.53594057021481
lu,0.6429949238292588
##ag,1.657361539818294
##dani,1.6351774414898055
velika,1.6673542524375642
veće,4.088890541568443
vlada,0.47986776203376147
manje,1.2242766104133849
##zde,0.8313428482567498
##ki,0.3320121203478251
##av,0.2418928211054783
##tvrti,0.402450324964266
vo,0.34077407261137016
živi,0.5569472406942242
##vor,0.49311241541146805
pt,0.8158094894618093
##ice,0.3752388772108975
##ml,2.1130988584513553
##kim,2.2503953926308586
St,0.36476103758374534
mor,0.6118521284313974
##ske,0.38241414900786325
##kov,0.9494624815989167
##rs,0.6051760246729276
žive,0.7937513679869925
mile,1.091096844952728
##rve,5.334398731169286
svake,0.722611719314133
vrste,3.7968949195075874
##agos,0.5018293891597518
gov,0.7439764197701813
##ore,1.4763198027809685
Pl,1.0722080664605642
##žit,0.5575743160091556
##unit,2.370305008845985
namn,3.0
##vede,0.4601391065674072
##iva,0.3326024316475555
##vce,3.634794620434189
##jera,0.976020648236615
čovjeka,0.74959525725948
slik,4.518351999711601
##ična,0.8079633570539367
