subword,entropy
पृथ्वी,0.7274631732860448
निर्माण,0.8778580139034373
पूर्ण,0.9709505944546686
##धार,0.9110846533144094
जल,0.8324189180044712
##्मा,0.9709505944546686
##ाली,1.323128782673994
प्रकाश,0.6681301934681353
##ात्र,1.2859934083221154
##िता,0.23136379865860468
मध्य,2.0333902428214023
अंत,0.6891595016327199
जमिन,0.7099651716028893
भूमि,0.06174078489240896
##यास,0.3885225852115315
समुद्र,0.5950010631050974
बी,1.414442855035867
वन,1.715222654318631
##िया,1.3689771418575953
जाती,1.191635188010322
##णारी,0.8286939572687744
##ळात,0.5615812349443958
##्यो,0.3141539346611277
##ति,0.9709505944546686
विशेष,0.362843372644763
ऋ,3.256785716616031
##त्ता,1.0193721517965764
##ठी,0.9164298694392501
##ारे,0.4929160091165851
##धा,0.4159642225282679
उत्पन्न,0.9362667434917369
फिर,0.5367994602257256
अनेक,0.48994245940154213
प्रकार,0.7270280680943119
तसेच,1.1625777232630259
##नि,0.7589634662240732
##द्र,0.4686342986192782
##ुग,1.1642388820634484
##ुण,0.3942459706017358
प्रति,0.2346274389907203
यांच्या,0.961236604722876
##ारी,0.48950209710577025
##जी,0.4776628708395532
इतिहास,3.582676783737658
##त्ति,4.405850623429781
##्तान,2.020949183396666
##पूर,0.734329610107994
##हती,2.4992641184527056
##िप,0.7212514592621472
##िनी,3.070932653615759
जीवन,0.6723433135986524
##्तम,1.8682762019139538
##वाई,0.9218137548322883
ज्ञान,0.43235414521170046
नदी,0.5515640930284552
##गम,0.27950134223632045
##िने,0.5694966454284172
विभाग,2.290015315715819
चार,0.3283846621512134
पी,0.9398372277945987
##ेद,0.6103146216683325
##्ने,1.9177053320270958
##ओ,0.254715031425753
##सी,1.7389984655167554
##ेस,1.1643699587925957
वह,3.3188888773607683
जाते,2.704660084162994
##तन,1.0727782267211758
##वन,1.500694316353853
यांना,1.097267410714917
शरीर,0.5695551692635922
##्त्री,0.7219280948873623
2,3.5369042434847366
मात्र,0.9182958340544896
पास,2.3413489927685047
आई,1.3851032957698812
##ायक,1.8020886536893095
##ूक,0.6917694032765942
##्रिय,1.6112062282510027
खाता,2.80352191093848
असलेल्या,0.9709505944546686
##वास,0.9544340029249649
##ंदर,0.6354066025783739
##ल्ले,0.9268019629375214
##डू,1.504385343561794
भी,0.6823510555047687
होतो,0.4928560684662289
आय,0.8361300478197468
पाया,0.3568566321329209
##दर,0.8940189978272287
जन्म,0.5257262492343876
देते,3.146009432404354
##दन,1.078280737512838
अधिकार,0.9182958340544896
##टी,0.5823931266757821
##चित,0.5947949111702935
##दू,0.74129641527933
##हार,0.7237432073785418
मार्ग,0.3649076266581872
##क्षण,0.9519829400215819
##गर,0.9456603046006402
##नी,0.7708155404004677
##वार,0.7337293319526069
संबंध,0.8232675727463402
##्भ,1.4645100921565486
##इन,0.890856452489471
##य्,2.3219692198102027
##यान,1.1779813712387672
पुरुष,0.48068937700119596
##नंतर,0.5837512437338985
##्वे,1.9560324205084398
सर्वात,0.2238944847922565
##तु,0.7100054792456392
##हर,0.9127540584224556
##ल्ला,0.7591367792137643
पूर्वी,0.5143144631399015
##टक,0.47003319723232334
शिक्षा,0.8652111237061207
##हन,0.5990660724800202
दूर,0.2617807991356862
##ष्ठ,0.5578373917180707
##ूण,0.7193260002558178
##्नी,1.1761236407614297
तीन,1.0475012248142075
हर,1.2053404032543213
##सरी,0.8456823345032547
##दान,0.7117318587000402
##ुवा,1.7243315188161723
##यु,0.26541230430373736
##वाद,1.0989337939349249
कला,4.667988753599057
##बल,0.9709505944546686
नाम,0.9665095065529052
##्दा,0.6692139328792175
##धि,0.45501068221774205
वर्षा,0.7485996128008261
##ें,0.845643176512446
##बार,3.935967586799063
##्ण,0.632278309507299
##ऐ,0.7601062310858843
संख्या,0.3271462049309909
प्रमाण,0.9188389579552332
##ांक,1.6128302222922504
प्राचीन,3.773557262275186
असतात,0.5749405942474823
मानव,0.7477155941506132
कहा,2.665296267957597
##ंबर,0.5523082793315873
##ोज,1.0
##्यू,1.9401750037064258
##िट,2.4290996105507228
50,1.5845516870213576
30,3.8775997943585634
छ,0.8112781244591328
18,4.1315846264110005
##इ,1.126032855651071
##लय,0.4160775341661266
##ुना,1.1053102627126887
##चल,1.1660870601063935
##पुर,0.8830387159481987
था,1.2468486274113144
आर,0.9121855121296087
##ेली,1.9867454303535097
पुत्र,1.0571686147777644
##वारी,0.8982561256738465
ऊ,1.1245778855309116
उन,0.5262465693521423
##ीर,1.4877591838373492
व्यक्ति,2.041122765400283
##ुरा,0.4931059520294101
##यम,0.35706509299554745
ढ,0.46285863397647986
##प्त,1.1348983480536285
रंग,0.9417223789649989
यांनी,0.5268589927206241
##ोग,0.4788403912934326
##दय,1.6590220853629352
##र्मा,3.6062165478532386
भाषा,0.7562069951920964
पू,0.5070908752578797
सब,1.3309209996345057
राम,0.6220952217794511
##्रो,0.7478922670927453
##क्रम,0.3027289587438088
तुलना,2.4377492434571906
##रक,0.6641562447401013
काल,0.41404554460671616
शहर,0.8399020305980938
ई,1.155378831641635
दर,0.5836756688229924
सी,1.047462252058976
हम,1.9894060351435685
##थी,1.5613605887000095
सीमा,1.5642690052970516
दक्षिण,0.3489934628820066
पश्चिम,0.7895606535925177
##्री,1.2460231863683346
##यात,0.7571780488898516
##ोली,1.4325259391475673
जाता,0.4016684152860191
उपयोग,0.6938477135418664
भाषे,0.8785201024483891
##्राम,0.9657103944243273
अथवा,0.519950383857518
गां,2.0396112183809714
##ाया,1.010656741208212
मूल,0.29646341848186336
##बी,1.2131670476601935
##मत,0.6654419399025285
दर्शन,0.4643788948564259
##सन,1.2870122122314223
प्रदेश,1.0
##धान,1.0805285944464387
##्दी,0.5113283234958241
रुप,0.6710363432071138
##्यातील,1.0050940228895715
##ंट,0.37886716495360473
रोग,0.49935399859308055
श्री,0.3883602154221735
##ेड,0.46802583360873745
##तिक,4.050421511475815
##ख्या,0.9720411609882063
##टना,0.15787836725014595
थे,3.27070974309643
##अ,2.5753604209625025
तब,3.6950742676562776
##हित,0.8533076489673437
##चार,0.4809128641726572
युद्ध,0.6721238694597753
बार,0.6799594556983166
सेवा,0.6164261763417844
एन,1.771043917418798
##िश,0.8486073310757459
##भव,1.065562176734133
##ैनिक,0.5157223621967223
येथील,0.48194327478745297
##ग्री,2.032596109974295
वर्तमान,0.086765037853069
##नक,0.5696539742222866
##्रिया,0.5488567670039806
म्हणतात,0.7682480404197982
##सद,2.4050292154011736
##चन,1.5210107070498364
##न्त,2.1022133718575273
##ामी,0.3559245405061418
##धे,1.0645931905391728
##ोटी,1.4253606687048195
##कारी,1.6726158222959513
##यन,1.8048590867201266
##्छ,0.49493134348285456
##ताल,1.0164541683064954
##ंत्र,0.8895976255457588
##ैर,0.7840331774182667
##मन,1.9553294834038442
पिता,1.4344088831914656
विषय,2.2181859560287323
##्वर,1.0158757683357376
करण्यात,0.9525713443088715
##भी,1.97316670444125
##चना,1.891423048393897
##त्य,1.3890670023601612
##पूर्ण,1.0316132136831895
कमी,0.8504561252075772
रहा,1.9716570474410129
कुमार,2.244239026433856
प्रथम,0.20767434634806986
##व्य,0.6416725639855593
##पस,0.6444187495875968
##यत,0.9389604082000708
यांचे,0.5511826849256921
##क्षित,0.47194174975669806
##मद,2.766318095750438
##छ,3.721248316810896
विवाह,2.6942971412056274
##जार,0.8593011127414241
##आ,1.5026415343844401
##काल,0.6151749760719796
अंतरावर,0.6272637614033562
##िकल,1.8462186826745934
सेना,1.207194486394713
असतो,0.3531789348729751
तक,1.0927223481639257
जातो,0.9546234233959232
##्षण,0.39942285629786484
ओर,0.7105091530411657
##ृष्टि,0.6879000518748379
##िंग,0.6038958287212273
##कि,0.46618435883665976
कम,0.4071250184094993
##गु,1.7737721495912708
