subword,entropy
początku,0.5932829076368145
st,0.29232562860562533
##worzył,0.46183208070079307
##ks,2.850024493175513
##zta,0.8056803692891944
##town,0.21889059095948893
##żna,1.7166822844061345
##ność,0.18819714707745636
##pa,0.7467477925612466
##ścią,0.40454118391521243
Duc,0.8429181298387185
##dami,1.541852768868535
świat,0.5063410859163817
##łość,1.1760281866394044
stała,1.5636855324057932
dobra,1.8436351543994882
##zd,1.9503150580695943
##ział,0.42590440358418613
##łości,0.8061574777181948
##nością,2.2514726856038796
nazwa,0.44210945499694226
dniem,0.3094262444997624
no,2.5950475353949356
##cą,0.7822054581556495
stał,0.9402859586706309
##rane,0.5872395629913452
pierwszy,0.3394188175802845
Pot,1.255724589297924
##posta,3.957938571526066
##rci,0.509676903777668
##rodku,0.9641484045531363
wody,0.47946666973838853
##bem,2.2162208827210397
##bio,1.7577692522261297
jedno,0.5741400288159688
miejsce,0.3375723794428962
oka,0.11833267978339876
such,2.115948071457644
##bran,0.6260200548768234
dobre,0.7775391040414467
##rod,0.5136493076491084
tra,0.4429087004807255
zie,2.0618555611620475
wyd,0.27468294622810624
##awa,0.7122973461463445
##jące,1.3984891448414702
##ienie,1.2233402364537893
rodzaj,1.4189266955626223
##nią,0.46858966446248795
rodzaju,0.43626258777190735
##ził,1.0
którym,0.8689215913718713
trzeci,1.4421005343518216
##bies,0.6426151051725344
##kim,1.6410477535445676
##lani,4.05090184392192
nocy,0.8891367342556521
znak,1.1464586004002424
pe,1.1168894382073322
##wne,0.6106855467732456
czas,0.35812424648321717
lata,0.7216935278412033
##iec,0.8183461391478882
rząd,2.2587255179931516
mniej,3.0258299387664653
##wiazdy,1.015931424311991
##warty,2.3409227726760204
ho,1.5884855166319118
##jnie,2.603528147326765
##io,0.4124986730801099
##cej,3.2629607903326026
pt,0.622901794855737
##act,4.908758268726238
##lką,1.908629991172005
##zając,0.5785337432773154
##dla,4.835813453245317
##gos,2.3490991486815647
tedy,0.0
R,0.7407880040318142
##oz,1.280473471901395
##rad,2.9269360786788736
##zaj,0.5842517595867768
##zm,0.47633093309891816
##skie,1.4854752972273344
##ąty,3.8270404560530666
##mski,1.1270222892441564
U,1.1778664443970157
##lki,0.5194617150040544
człowieka,0.9833761901392237
##yo,1.2636678119468066
##bra,0.8422809951806006
##żenie,2.1803318093615407
##obi,2.663824187760892
##eń,1.643746585468868
##stwa,0.9662146591175761
ry,0.4404889355628569
##bami,3.1797879068253705
##skim,1.7033744755205997
##ęty,1.5289243889414723
St,0.5197306028868653
mężczyzn,2.0004294485309395
##dan,2.908816044216623
##uj,0.540259332975008
##rzem,4.348726493069558
rus,0.9920482903484023
siebie,1.5295315852459574
##kar,1.7370211852824102
##mo,0.7526029818545492
##emu,0.5924046382893446
##kiem,0.9575333596085385
której,0.8549934090085157
##lka,2.1537234722028353
##la,0.6837891371351318
szó,0.7287449445526736
Dok,2.0044806920172706
##czone,1.0899698853660396
##bios,0.39181352892194576
wojsk,0.9371585209709182
dok,0.5064104744268165
##czył,0.9182958340544896
si,1.4822652351700634
##me,0.6658399363546015
dzieła,5.097298192143876
##czą,0.3957641283010083
##mem,2.003573382501817
##cił,0.7358857176988032
##ione,0.7940090711575264
Te,0.8064971861623846
##zenia,0.8817075070969451
##rzone,1.120509177332579
pol,1.7397950466999341
##wej,1.6337025371641944
##uścił,1.2285403778555344
jeszcze,0.15643007966250086
##żu,2.14153431099877
##wil,1.689799683618341
##żał,0.4771046301005423
##stek,1.4278017706420216
##chu,0.9399956223860958
nat,3.5037016960573486
##chn,0.7521989134945656
##ął,1.1993521563523095
de,0.9080542130906116
##ota,1.5987359522848008
Nas,4.006689146516111
sad,0.5757846005772116
Eden,2.7806390622295662
wschód,1.802109312621864
##ńca,0.8514346143649297
##ió,0.8409012791679467
##czne,0.4947418270544656
##jr,0.46405853968462807
##zeniu,1.5015474807217868
sm,0.2557626511269458
##ac,1.1614223878273875
##zne,2.319340843726164
##dze,0.8637078487273246
##niu,0.927504041694452
wia,1.6666954825960987
##domo,2.9747139383496153
##zeka,0.8180265056270843
##żenia,0.5682260068613684
##mt,0.5419566607397256
##zielił,1.7202295601268562
cztery,1.593642711431015
rzeki,0.5893640280267176
Im,1.0335505701789933
jednej,2.5620021323655746
ta,0.32454054177054487
ok,0.38267399717257206
He,0.5035401597950779
rod,0.790678216775903
##oto,0.7794239474089157
##borne,0.33886279445352496
Tam,1.8243330592385123
kami,0.5090476372301199
On,2.3922035241795028
##yn,0.424332901686347
drugiej,0.5391017915519171
Mur,2.6499481955839457
##ńską,0.6484075429400982
zaś,0.7918583525674836
Ch,1.428403702551338
##yde,2.775316804262112
As,0.9395707529198489
##yi,2.6373151128350822
##warta,5.176088737372398
Eu,0.6435465074166457
##fra,0.9332019063180492
##tes,0.17741944881420366
##zeg,0.7262234931509718
każdego,0.6077222995901855
śmierci,1.537391720177441
dobrze,0.505113565877158
same,2.0627169196619457
pomoc,1.2697104818004696
##kie,0.3715779691513419
Adama,4.855395780143058
oba,0.39038305337223284
Adam,0.19365401127671203
##iona,0.6167101132922533
##nem,0.9419129939629411
Lec,0.43491068766254715
##lez,0.6414719375069511
##pu,0.7545825194262106
twa,0.20987045947344082
##rdy,3.6898916687500067
sen,1.2686265840864057
##sną,2.253135323582976
##bro,3.070637357126941
miasto,0.8290267165412301
To,0.8190689537816578
##ało,0.5276512218043655
ciała,0.439589124914316
meg,0.24680210303361105
ona,0.49513802702096654
##ęta,0.6954165417639497
mat,0.7037174483686565
##łą,0.48180536414684577
żony,0.3224514720642481
jedne,2.3758195797517505
##oje,0.6164410966401384
żona,0.7719217678289441
##yt,0.526233033306314
##js,0.7123149502388263
##ród,1.2877049859482705
dot,1.8077745742836595
##yka,0.9470517134327682
sna,0.864148636743079
##mar,0.9855612376838534
Ż,0.876716288999464
##nym,0.43507782533749284
##oso,2.018273751998874
##kol,0.7900660913471657
##rzą,1.283913422978069
bog,0.477133980692957
##jący,1.342108860403144
Wi,0.9068540115281664
##iej,0.3806638788929113
##tności,1.293495520720804
##ęła,1.1328359117021232
##dła,0.7362705930772582
nią,0.5179682222470459
##oj,1.6022208888807228
##zna,0.6020518267932023
nag,1.0415028926689038
##imi,1.1778039004266136
liście,0.26410164280528836
fi,1.0131489503621414
##zyn,0.7810211150633796
##s,0.6601113896646015
##ące,0.7253362512112572
##trem,0.30482693831848545
##owym,0.6285068858016245
##lę,0.46135130633338495
##kaz,0.7649220081598334
iza,1.7673628884306165
Có,0.7187710420793482
##iła,1.2252015470437652
##tym,1.234096896729338
best,1.4923722014718668
##yje,0.34539059145210044
br,0.7472419374838343
##ieniem,1.4559504051101675
##tę,0.8514277592866407
Ob,0.5104679707434431
##ficie,3.0014774099615043
bol,1.063809576520883
##eści,0.9352153116200279
##zić,0.9896964047496289
dzieci,0.5741313954467694
wol,1.9055505816750382
##dana,1.3395870088361368
pracy,0.9512786298335099
##wać,0.38571430341783863
##ern,1.1443224929269888
ose,4.066348252456013
##leb,0.315019728790282
##is,1.0058856148755067
gdyż,0.6512620009498452
##cis,1.0492764659559208
swej,0.9734546923444037
Ewa,0.8937229343576667
##cych,0.7250298756244292
##onie,1.2083901795323693
##zien,0.912339927864271
##zane,1.9938620593594978
##ló,2.254771046505055
##ący,0.39364065367109646
##żeń,1.0189471382736228
##nął,0.7913447825237385
wziął,1.0
wiek,0.9225740978188978
##owaniu,0.44289822398427103
##yg,1.3957939181951924
Cher,0.9175257057367806
##ub,3.9905736260731164
##mien,1.29776817546784
##rot,0.2180373882587233
##żeniu,2.8599216918552828
drogi,1.2201283690397657
##znał,0.7235276207732165
Kai,2.512236514835969
##tr,0.6698155421914016
##ała,1.8789494234710038
brata,1.3478704731942028
Ab,0.6324978150374186
Abel,2.584962500721156
past,1.0505087145479863
##erze,0.8146575622225217
##wiec,1.1122164878708396
rol,0.41218420250386584
##nikiem,3.366937067818802
wielu,0.4774156881842135
##niósł,1.1270396207118938
##zt,0.9679415719592969
##zó,2.2443010139825206
##sto,0.7875841789128797
##gni,1.5757680728259886
##adł,0.6051214862715979
##pali,1.4175709813114818
Az,1.2699845944833448
##nić,0.741805727131445
##ywy,0.7932028177486546
leży,3.7548019626838998
chu,1.992757146690209
##zma,1.9753108257643768
##lem,1.1679288547307076
brat,0.716184892376055
swoim,1.2936676168053773
polu,0.4942730887174816
powstał,2.255727981741489
##bił,0.9896989372209855
##lim,1.2910286787032852
##żem,0.25660651796486517
Ter,1.4079865398183278
Gdy,0.9389320105807949
mocy,0.7180975417867218
tu,0.3293588047687848
##łac,0.4429576393830169
##ększa,1.31954425179125
moja,0.5046382539143346
##ścić,0.2670096764536915
mia,1.6303053815933783
dziś,0.19557174905351224
##yga,0.25586931823506226
stanie,0.8378582487148651
##oko,0.6036724850069761
##l,0.3171375075698267
##bij,1.2448153941022868
##iste,0.3842527137186939
##oby,0.6728727383544812
##mio,1.8067463802785562
##nies,0.7065182423545032
##ms,0.9933920453700954
##tno,0.623745983193225
##bija,0.48650565708727106
znalazł,0.8366407419411673
odszedł,0.45124848509348725
##ńskiego,1.3607550049513646
##zkał,0.524263362565068
No,0.46071709235684405
Eno,1.5940102081025758
urodził,1.628463008718095
##chow,0.5717871922881241
Ma,1.2455757092186726
##ela,0.3809839321944778
##el,0.2152402106493642
Mat,3.655344108683362
##usa,0.6385371247938625
Lam,1.974937501201927
##ech,0.8304526787647571
dwie,0.9823400376265456
Ada,0.44207399798134184
Se,0.3769105113496316
##cem,2.0463834536341916
##jących,0.19597909303871408
##erz,0.6467453361641938
har,1.0862826892287634
##fie,0.35004148736012825
##iu,0.3520484517598636
Tu,0.43932939848443264
##bal,1.3308759304142748
##zemie,0.9161327504677885
##lnika,3.1440274896488516
robot,0.7761945815692791
##laza,0.21284520232026988
##ost,1.7990882075946857
Ad,0.8109854492204505
##owe,0.4497272720614039
##łów,0.8812908992306927
##ranie,0.4436357528314248
##lić,1.31877492781786
##kro,0.4343050019255698
Set,0.22306545968932273
inne,0.2505447859491191
potom,0.7309256744095427
##stwo,0.4817474609036856
##zywa,0.4063879703331084
##ienia,0.4453155653406971
ks,1.5541041622348144
##owych,0.6378020392827471
M,1.1579472414872474
##worze,2.7464441832926583
osi,1.3212507804545992
set,0.5801571955339961
córki,0.4053155609342096
uma,0.7717886189486255
##sa,0.35808347698550363
##naście,0.8510077719967822
Ken,0.5479908385052534
##ana,0.6658399363546015
##tna,0.9638721839676875
Był,1.7626842335648756
##so,0.31686359101742334
##an,0.6910949051996992
Mahal,0.1388044715163664
##ale,1.5635198499444647
##ter,2.599825081577312
##ano,0.5288643469190901
sześć,0.35330475425876073
##elo,0.5848258297970904
Ten,0.9555638870139644
##ies,0.355061860386715
##ąk,0.727735981534705
strony,1.0099885762664413
##lą,0.4670809007324137
Sem,0.41466937570699747
Cham,2.900391873193775
##fet,0.5339532912138727
ludzi,0.640627407906667
##odo,1.5832490762125366
##bali,0.3698049364321237
duc,0.2832629036076581
ol,0.6744179232664008
##br,2.004422487704928
nawet,0.7025107485863961
potem,0.9983636725938131
##rek,0.7190856356571018
##kich,1.5099579830561138
##arz,1.976964875093265
wieku,0.918408282153297
##ość,0.734376419918785
##śla,0.6003141782766728
tylko,0.09636977942507026
##dl,1.064829599857574
##ęcia,2.005197901629438
ga,1.7975199676440186
##ast,1.111604567152971
