subword,entropy
begynnelsen,0.3086758637931208
##pade,2.875098919704683
##mel,2.43294575847962
jord,0.9709505944546686
tom,0.4205499434008274
##rker,0.6850875796123919
djup,0.21959666465584873
And,0.713597904964507
##vade,1.9267295953535843
vattnet,1.0367838554406794
##jus,0.8121473503615549
vart,0.8320074903522685
got,0.41860723469919303
ski,0.25443158860443227
##lde,2.2897901864039203
##rk,2.5338773138390627
##ret,2.177101367655697
kallade,0.40565604716491943
nat,1.6938276962341976
af,0.3623502890314135
##ton,0.765824700227036
mor,0.6151753993593959
första,1.0587415321476057
##lje,3.2763239754848836
vatten,0.9640787648082292
ova,0.9827172249192979
##edde,2.1387085691827266
Sam,1.8350957833441754
##le,1.5057915081446258
##ski,1.5225441939909823
plats,0.566312751628689
to,0.7944188820106663
##rra,3.1802484551366073
##ligt,0.4217881934399052
ha,0.6225431575739138
Fram,5.065981698429704
##bring,0.5842078536947184
##rter,3.056564762130954
arter,4.735865813865275
vari,1.3073549071416772
##ro,1.4271956606597607
tredje,2.155607649085052
##lja,0.915398542998891
natten,0.48598621331324876
te,1.9628320882619539
##mä,2.244911312971303
##rka,1.5837937657188204
##lda,1.5116800151160383
tider,1.1821423751218778
lys,0.5658966570929961
större,0.3359951029484633
råd,0.256381579085014
mindre,3.4393784520592803
##rno,0.422900773169422
satte,0.9672178341940487
##järde,2.068479741193669
##mmel,4.854718997150628
##lser,3.08720907417591
##glar,0.6424975416020441
##vs,2.314904739897698
##djur,1.6490823968703883
##im,0.9426831892554922
##sig,1.4584906956684907
##ök,0.9164125820870653
##fy,0.7637149359893984
##llen,2.6062569570463556
femte,0.6489160550712151
bos,1.5441185804014907
##kap,1.1830763652219505
##sd,3.0375150929241457
##jur,0.7171177279780026
djur,1.1354535994167188
mark,0.8372196188581328
L,0.363816046901297
##bild,2.01672021828163
fisk,0.43534866128482896
havet,0.33595263607179715
##niska,1.0337467654597972
##ggen,0.8008235307246033
giver,0.3712811085505808
##öda,0.6780540647566325
##tte,2.8084386603565643
##bord,0.427637652515485
##skar,0.6092797884759824
verk,0.25414031017534006
vila,0.5205256016407407
Detta,0.571127512173363
##rät,0.45659937292164415
##telse,2.6444921976136895
bar,0.5763633950207044
bus,3.590847477225492
##ke,1.4814140184684799
##rt,0.8419649114368364
##tit,0.8263130151853919
re,0.8070223619890795
##gna,0.7821032851047935
fanns,0.7384219514058603
kunde,0.3266721722203437
bruk,0.4090033955088913
di,0.651570208206731
##mma,1.673702277452613
##eg,0.98924521595886
vat,0.5031577777363596
##tna,0.8218557575656877
dana,2.898089845973749
stof,1.3505494849476718
##bl,3.3321265328250025
##ås,1.7057108659876914
##san,3.382621692732076
hennes,1.448318037175233
##äs,1.2440069002171124
##lse,1.2445666846891343
planter,1.9666197599934567
lu,1.3328204045850196
##gård,2.3617144785388584
Eden,0.11202511381144328
österut,1.1988235906119435
slags,1.4724608245914463
##ju,1.8222322909978645
god,1.5258361047800344
##xa,1.226228586810016
livet,0.4127730781822482
##gården,2.120520020412503
kun,1.7150075567013983
##skap,1.7092339853474035
ont,1.1696128786670994
fl,0.43313950277845514
##od,0.4164334077791129
dela,0.688465041296183
fyra,0.670475246359414
##enar,0.9910084323244424
heter,1.3253079816737892
Pi,0.8625231489168121
##son,0.5274447200536558
Ha,0.39437202971473534
##vila,0.6610931795782152
guld,0.9544340029249649
finnes,0.8201203787504097
landets,2.25131909614716
##um,0.8051028952138272
on,5.225242354357181
##yx,4.727096150721339
##sten,1.782753900085173
floden,1.2530472199192744
##on,0.8260772825048681
Ku,2.7356184731403053
Hi,1.183982689871082
##dde,0.5040677557076028
##kel,1.257165260585991
lo,1.0334905760768722
##pp,0.2882029084534299
öster,0.9081275413683374
Ass,0.8107928975334446
##yri,2.1114545691377655
Fra,2.584962500721156
mannen,0.38785538420767524
##vara,2.063158476990139
##jö,1.6614919932904872
Av,0.6667701744031677
##av,1.130562732795542
allen,1.464041886945653
hjälp,0.760802815921681
kalla,1.038353478874617
het,1.4237579390362014
Adam,0.7839494577730142
fann,1.7893563230128142
tung,1.4648873412614938
##mn,0.7761138104325673
##nat,1.2377397502263259
rev,0.6158659300230624
##ben,3.862930622661678
##yl,1.7609275953817927
ben,1.1817821234570831
Hon,0.6359249391965794
##nna,2.84455164005999
tage,0.5890830710098529
##dens,0.7007384074768936
##kull,0.6342452885717234
##gi,1.2040665207219978
mode,0.8891994932819349
båda,0.9053323438190869
nak,2.730884016943922
bly,1.0566871202613548
##gde,0.7942847032342961
varandra,0.5707256082104415
or,0.8034749801076102
##men,1.7869284437269148
list,0.7361066413160237
K,0.43399106738618115
Vi,0.7875282041237577
##äden,0.4644956806329438
står,1.661147663945946
##vid,1.4314671617464874
Inga,4.637086066414195
##lund,0.6712681429457774
blive,2.40078023877499
##det,0.4463985254639907
##gone,1.084281197344747
##väl,0.9317349149957338
##nades,3.7231160795390843
vars,1.912466928949297
ih,2.1537169526799684
##op,1.560049135661486
fik,1.5095422985718088
bun,1.735970227635731
##do,2.743877013259219
vand,1.2027641155954414
begynte,0.9604932310708352
##lka,1.7303240383464566
##mde,1.5768534934243772
Ve,0.8024305810435572
Har,0.5746743325591681
Mann,0.5029848268489417
Va,1.4995575263655176
Or,2.7626087725035093
Efter,0.5529418153743846
##ban,1.171334026314618
##nad,0.6348956889550452
På,0.5579452885025942
##sdag,0.6851527249407496
fie,0.7486019302594763
##nds,0.6056525556607174
mellan,1.3134852897953955
Denna,3.3398492319200805
##nder,1.090863980855542
##tra,0.6352760824859999
##mpa,0.24182483686714848
##inga,0.3067725379736198
##stå,0.5528081405243697
my,0.33932800819845826
vede,0.538639785353128
##rm,0.958561011876052
sm,0.41339751055397034
##ärt,2.1737150808471655
##rå,0.9028549672296431
##sna,1.1714236707964845
vilket,2.5167615592233674
Med,1.603134371215625
nära,0.41685848256965435
##ne,0.4347128838666023
ti,2.3285654302069902
##stel,0.4650103057313914
an,0.4807694017331956
##änder,0.8781473220513883
namnet,0.7001951079544585
Eva,3.628678097391317
skin,2.843122759993024
M,0.9009206217534672
evi,2.2667298045088398
##nner,2.139974427344667
##visa,0.49314463357795685
varav,2.4765857071437423
drev,0.5215367097244641
ker,1.6490362342842408
##ube,0.5925938088832253
##jung,0.8030626777671802
##ande,0.3816452566458463
##ärde,1.27895756452526
låg,0.2325773491832408
##vak,2.7085617909068964
känd,0.5919265375744109
född,0.8058600706536285
Kai,0.3038378263882952
Abel,1.724915685159891
##res,0.6932262433154848
bro,2.168395878955669
##her,0.9890455641254896
##man,0.7702543181139797
offer,0.8369299503256031
##cks,1.5986883862771377
##jord,1.0572588586954734
fet,0.8231264885260362
##red,0.6118521284313974
Ä,0.5264658954278937
sinne,1.1522250378908776
ser,0.5770717279833004
##digt,0.5835420656823448
dör,1.410321692818481
##ren,0.9366673818775626
ute,0.5038141305950611
##pte,1.5849475285802521
##ders,1.7767031018932953
ropa,1.1077411841412619
mun,0.1485932059120328
##tag,1.1844706489357004
brukar,5.183959858889561
Min,1.1165246772771713
miss,1.1387873533010036
driver,3.197159723424149
vem,1.710305807406504
##hel,0.8279532738233777
##per,0.827873876560053
Ne,1.333828298289941
##j,1.846660024643596
##fal,3.4198292834974082
sky,0.41263086226199963
##dd,1.0702500194047162
slå,1.0989836505084105
##atte,1.088968605398059
No,0.5372763392868202
##ok,1.205441575982037
staden,0.5328100014829921
sons,1.1150602430958345
föddes,1.2545326626144273
Ira,1.7003867055045139
Me,2.2886651771090682
##hu,0.9604564354161246
##el,0.35310334048499853
##usa,2.182798487490489
Le,1.7314634551181547
##mek,2.8319306203605272
ena,0.4452277711328477
hett,1.2614772328036563
Ada,2.4797991318374053
##fa,1.0833562745092198
##ält,0.9911423340983808
##ss,1.8725024145548288
##sel,0.49080957472838876
##pa,0.28325607138758424
pi,1.0172290576471663
Tu,4.067165189777858
##bal,2.4215926283574407
##ed,2.3685068433729346
red,0.7303797223731943
kop,1.9178322569307722
##par,0.7344824737440108
sy,0.4008063457784048
##ster,2.400419452513958
Naam,4.433526000404177
hören,0.41601377096640535
##sne,2.984234164652489
tal,0.9910760598382222
yng,2.465912300840641
##ling,0.8426050236086661
blå,1.0931213195881522
##tti,1.7055068300314244
##ofa,0.4196407584753156
##lt,0.625726742248467
Set,1.244857204421072
ers,0.6503140337396135
Eno,3.844101983769459
Vid,0.6931031091216522
##kalla,1.4609521433472852
Till,0.6732164002340084
gammal,2.8472222097686184
levde,1.3639347636247714
åtta,2.466244471030925
All,1.0886922436534239
##vna,0.8934866253918091
ni,1.8708711297879521
därefter,0.9687379305767725
dog,2.2136694020889998
ålder,2.016240228442282
tolv,1.5881697925108893
nit,1.0533754579691088
Ken,0.24196428289880376
Mahal,3.0216184291596546
##ale,0.7123071155698748
##yr,1.0518864597562492
##ans,0.7810197119596874
sex,1.196843716572001
##fe,0.6828749703899344
##ls,1.1417878932645085
um,1.2914809495266002
##gänge,0.3374851504423996
##oks,0.3095241789072639
Sedan,1.3793058788569421
##rat,0.289845029135363
##tion,1.638771161396574
##io,3.1590210737063398
Denne,0.47107424317352575
##östa,0.8514964526864934
arbete,0.24643951576278225
##os,0.5055643165203177
Sem,0.5635437317869916
Ham,1.5928510433717433
##fet,0.8121822303214885
##gra,2.4838723576633623
fun,1.5929277684773875
##no,2.6237544640979453
mest,5.209869404933935
##ha,1.270359667490865
and,2.023669670739963
best,0.8977208659073426
##ändig,0.7434507117763262
dock,0.92318897055331
##ugu,0.9814508938302557
tiden,0.6741930398425445
##ätta,1.1971643174117683
for,0.586382108961662
##nti,3.339432928969029
##kun,0.4172230269033363
##nig,1.4725941778053093
ond,0.5098382394049223
tank,2.351088722784728
##ast,0.29219326020158487
onda,0.9709505944546686
##öva,0.42594153609622964
##nisk,2.445641482748087
##orna,2.1521134807871563
##pl,2.47415872706908
##fo,0.7937032180061763
##nit,0.739495728259477
os,1.1232348563627574
##traf,2.1743951570439193
##lig,0.16729892797477658
släkte,0.5497726664426748
##mer,0.7783679981549315
##vad,0.7460476421573025
##yn,0.9016077550361414
##ll,1.7526619066417368
##slu,1.1162326381901464
##ika,1.0366913291125779
ark,0.9272067069185449
go,1.0034868052039354
kam,1.92582554465219
##ryk,5.384242590815596
##beck,2.997014640287629
innan,0.9231117886373568
al,2.8002243375063656
lång,1.2563569988836494
bred,0.5348097218391031
##igen,0.7174294825989156
sida,0.2680460929350299
##reda,0.17340842083125943
##ing,1.1471532922185026
##bund,1.6389351092148092
##ners,1.118517347591728
par,3.1171192834279964
slag,0.44765690508118383
##sme,0.7665961859569423
##del,2.347600880832103
##tas,0.8530306731996096
sam,0.6760201290262183
ren,0.405658206991895
hann,5.07379343689852
sådana,0.9382561878709531
##efter,1.4225535163050498
##ätter,5.097672648932732
ore,0.6455450798559966
ging,0.44068362214931917
månaden,0.8217063979108309
##tton,3.502655880853359
##ets,2.0107624602516703
##lor,2.547223220667304
##gn,1.3744194714992717
vidare,0.22449024132217732
##til,1.5839758768769638
##gande,0.6853953141607063
##in,1.1938898459087928
igen,0.5452980439840067
ly,0.7668836887004029
##fte,0.9065184642912235
alles,4.19889230615704
##ckte,0.9745220530731438
Fe,4.597854246362988
##mt,2.4165959868150835
##gick,2.5442789744377787
små,0.9054280121712517
##kom,0.7845004535187762
##ades,2.3596761051847244
##dda,0.23467944373291305
fort,4.050301855434983
##for,0.10667594163411684
##änkt,1.0430792164800902
vind,1.210663545987896
sjön,1.9354387012485639
##sl,0.41544876484450755
regnet,0.18991853828492547
##hörde,0.22872326639022075
vek,0.11434605665548071
stan,0.15959712982026705
Ara,1.9470312707103208
##tog,3.9611515948810325
int,0.6905481495346751
##ill,0.7312161824253278
##stre,0.566868718857938
kor,0.3245346754880271
##ög,0.5552049959424616
##van,0.772624228704344
ytterligare,0.8976254539631585
gång,0.10651928781501471
##tone,0.5060587598520345
##skt,0.3869346312087011
oli,0.46651934162092934
##bb,2.9151091592008074
##sta,0.6253465369361921
året,0.3489466858261814
take,2.464151182812852
##jun,2.793777871038013
##deles,0.19619738497062467
##rr,3.1838473999097303
Alla,1.2576829595864571
altare,0.3717205645353967
off,0.76931923911601
##ffer,1.0456702422445112
##be,0.629876084653337
##gli,0.6144735280833138
##kten,0.8657697244482535
##rtas,3.168784966742202
ung,0.7811519854884816
##dom,1.3345386161216641
län,0.6419030886218635
består,0.6036633170448115
##öld,1.1034497861666122
##me,0.4758377354406081
##mar,0.5078062176013598
vinte,3.6895472009292605
aldrig,0.665048891778988
eget,0.7309052950991388
##kr,0.859870373728674
andre,0.46810304303945527
##lod,2.007894890722054
varen,0.9321413207191185
##xen,0.2428703691928423
Y,2.8530334211139405
##tter,1.6529050760401343
##mande,0.6527731813376305
gått,0.48844037728569983
##rota,1.208183782828685
##net,1.280453143328158
##bundet,2.3496489125787523
synes,0.40441028323639083
slutet,1.410284417150601
##var,0.7244450366106862
##tat,1.3522404889223096
Kan,0.6903104604279899
##aan,2.5972262253665495
Dessa,0.5582626637754287
##gren,5.246556710172022
dra,0.7272719156811948
##uck,1.8282419656233262
blot,1.8726860027464358
##gd,0.6438757405427941
##tade,0.8883217118214227
utanför,1.0035523404057671
##tel,1.3152500914036236
lade,0.954868250627977
##uld,1.433158877937032
##ror,0.6160950388069616
tillsammans,0.5541372661995011
bak,2.116038695165069
##vän,0.6018420694080493
##kna,1.022836167203044
rus,3.81082662313309
##ars,1.894613153342634
V,0.6222618497149099
bon,0.80917307625748
hyd,0.8317948378691679
##dor,0.774074999016293
Go,1.6644091836456052
Mag,5.069653763471179
##og,3.459431618637298
##ai,0.9776946482232155
Java,4.265965309576114
##sek,1.9595938325998334
Ti,0.3566507163920977
##ras,1.3676850552894462
##mers,4.709002012574802
Ask,3.6280729963885094
R,1.0240197116403125
To,3.049402390429537
Elisa,0.4272748252264639
Ta,0.4452160864310258
##rsi,1.9670856365871092
kit,4.919052601725121
do,2.517437951220127
##dan,0.8504312408518322
